专业代号及名称,院校代号及名称,投档计划数,投档最低位次
45工商管理(中外合作办学)(与英国萨里大学合作办学),A173东北财经大学,12,54976
4V会展经济与管理(中外合作办学),A589海南大学,9,55003
D4电子信息科学与技术,A186长春理工大学,2,55027
17工商管理,A703西安建筑科技大学,3,55080
03金融数学,A636四川师范大学,2,55091
07经济学类(济南走读),Y014山东财经大学,10,55122
1E学前教育(师范类),A094河北师范大学,4,55126
Z0石油工程,A705西安石油大学,2,55135
0H土木工程,A059中国民航大学,4,55141
75会计学,A534湖南科技大学,2,55148
13化学(中外合作办学)(2加2),F301宁波诺丁汉大学,1,55151
37自动化类,A595桂林电子科技大学,3,55161
37工业设计,A856上海工程技术大学,2,55166
01交通运输,A732兰州交通大学,6,55167
25国际商务,E655深圳技术大学,4,55176
1W制药工程(中外合作办学),A291南京工业大学,3,55194
D5勘查技术与工程,H414中国石油大学(北京)克拉玛依校区,4,55196
45化学工程与工艺,A704西安科技大学,2,55202
26机器人工程,A534湖南科技大学,2,55213
27信息安全,A489长江大学,2,55215
6V土木工程,A755新疆大学,11,55220
53城市管理,A341浙江农林大学,1,55231
B7安全工程,H414中国石油大学(北京)克拉玛依校区,6,55235
B5信息对抗技术,A186长春理工大学,3,55242
74地理信息科学,A536长沙理工大学,2,55243
58信息管理与信息系统,A188东北电力大学,3,55245
1T大数据管理与应用,A424山东科技大学,54,55253
29机械电子工程,A406南昌航空大学,4,55257
0H经济统计学,A456山东财经大学,65,55266
07机械设计制造及其自动化,A404华东交通大学,5,55270
8W计算机科学与技术,A231哈尔滨师范大学,3,55275
0G自动化,B417北京联合大学,2,55278
YT经济学(中外合作办学),A184延边大学,6,55317
01水利水电工程,A078华北水利水电大学,5,55322
37应用统计学,B065青岛大学,64,55330
43国际经济与贸易,A674昆明理工大学,3,55332
75制药工程,A674昆明理工大学,2,55334
C2自动化,A142沈阳工业大学,5,55346
97化学工程与工艺(卓越工程师班),A534湖南科技大学,1,55350
11金融学,A125山西财经大学,6,55357
07俄语,A216燕山大学,2,55366
25材料成型及控制工程,A703西安建筑科技大学,3,55378
F1机器人工程,A186长春理工大学,2,55385
G0计算机类,A407江西理工大学,2,55401
31应用化学,B065青岛大学,78,55413
0K金融学,A207吉林财经大学,4,55423
47电气工程及其自动化,A732兰州交通大学,5,55443
0L财政学类(地方专项计划),A456山东财经大学,20,55447
32建筑环境与能源应用工程,A289江苏科技大学,2,55459
2R物理学(师范类),A414江西师范大学,9,55461
1W人力资源管理,B417北京联合大学,2,55466
01金融学,B258大连大学,2,55476
15应用统计学(地方专项计划),B065青岛大学,5,55496
0D知识产权,B066烟台大学,29,55503
05国际事务与国际关系(中外合作办学),F301宁波诺丁汉大学,5,55526
0K电气工程及其自动化,A426青岛科技大学,78,55537
0U工业工程(航空维修工程),A059中国民航大学,8,55552
2J过程装备与控制工程,A755新疆大学,5,55556
