专业代号及名称,院校代号及名称,投档计划数,投档最低位次
4F工商管理,A126内蒙古大学,2,33112
21管理科学与工程类,A173东北财经大学,3,33196
1N工程管理,A112太原理工大学,8,33205
1W工商管理类,A475河南大学,3,33331
H0旅游管理类,A542湖南师范大学,12,33352
06工商管理(中外合作办学),H004北京交通大学(威海校区),9,33671
31土地资源管理,A224东北农业大学,3,33672
2C农林经济管理,A589海南大学,4,33690
H2工商管理(中外合作办学),A295江南大学,7,33784
HM工商管理类,A225东北林业大学,22,33913
2T工商管理,B117扬州大学,2,33970
1P行政管理,A126内蒙古大学,1,33999
09物流管理,A254上海海事大学,2,34028
84物流管理,H635西南大学(荣昌校区),5,34321
29物流管理,A173东北财经大学,1,34394
14艺术管理,A279上海戏剧学院,2,34429
68大数据管理与应用,A065天津师范大学,2,34525
13工商管理,A530湘潭大学,4,34760
24计算机科学与技术(财经大数据管理),A421江西财经大学,3,34886
45物流管理,B646宁波大学,2,35041
1K物流管理,A589海南大学,2,35067
17应急管理,A290中国矿业大学,4,35132
14公共管理类,A475河南大学,4,35228
0Q工商管理,A616成都理工大学,4,35365
51工程管理(实验班),A016北京建筑大学,1,35541
0V旅游管理(商业数据分析),A031北京第二外国语学院,1,35555
21信息管理与信息系统,A530湘潭大学,4,35774
16信息管理与信息系统,A617重庆邮电大学,2,35813
2N工商管理类,A070天津财经大学,7,35917
09工商管理类,B482浙江财经大学,5,35953
37工商管理类,A184延边大学,6,36281
21工商管理类,A356中国计量大学,1,36282
02旅游管理类,A589海南大学,5,36315
30工商管理,A390集美大学,2,36422
02财务管理,B047上海立信会计金融学院,5,36531
45财务管理,A385华侨大学,2,36625
3Q土地资源管理,A589海南大学,2,36639
21工商管理(英文授课班),A338浙江理工大学,4,36672
62工商管理,A065天津师范大学,3,36674
07工商管理类,B047上海立信会计金融学院,3,36675
0T公共事业管理,A327南京财经大学,4,36728
59公共管理类,A353浙江工商大学,5,36739
A1工商管理类,A564华南农业大学,1,36819
20信息管理与信息系统,A356中国计量大学,2,36941
15工程管理,A617重庆邮电大学,2,36972
14市场营销(一带一路营销管理),A031北京第二外国语学院,2,37038
1H工程管理,B117扬州大学,1,37344
84工商管理(中外合作办学),A140辽宁大学,4,37383
31工程管理,A225东北林业大学,5,37463
X3管理科学与工程类(非西藏生源定向西藏就业),Y001山东大学,4,37486
87工商管理类,A616成都理工大学,4,37585
01信息管理与信息系统(中外合作办学),H004北京交通大学(威海校区),12,37648
41物流管理,A184延边大学,2,37874
01工商管理类,A512湖北大学,3,37896
57人力资源管理(数字人力),A421江西财经大学,2,37915
13工商管理类,A617重庆邮电大学,2,37926
1K工程管理,A657贵州大学,3,38263
41公共事业管理,A593广西大学,15,38324
0V物流管理,A327南京财经大学,3,38347
2M管理科学与工程类,A070天津财经大学,3,38405
39工商管理类,A593广西大学,10,38412
25信息管理与信息系统,A700西安理工大学,2,38609
09物流管理与工程类,A011北京工商大学,5,38662
23大数据管理与应用,A346杭州师范大学,6,38701
32公共管理类,A338浙江理工大学,2,38720
1S旅游管理,A126内蒙古大学,1,38762
36工商管理类,A615西南石油大学,2,38919
27工商管理类,A063天津中医药大学,2,39030
12工程管理,A298南京林业大学,4,39039
32工商管理(创业与创新管理),A560汕头大学,3,39103
02公共管理类,B482浙江财经大学,4,39246
0R工商管理类,A488武汉科技大学,8,39268
1E信息管理与信息系统,A445山东师范大学,5,39404
40信息管理与信息系统,A184延边大学,3,39727
22工商管理类,A068天津外国语大学,4,39881
0M工商管理(中外合作办学)(中美合作),A252上海理工大学,4,40000
0Y健康服务与管理,C121南方医科大学,2,40251
0T管理科学与工程类,A291南京工业大学,2,40326
0S工商管理(中外合作办学)(中英合作),A252上海理工大学,1,40629
KH财务管理,B664西安邮电大学,4,40682
28公共管理类,A063天津中医药大学,3,41014
08行政管理,A749宁夏大学,4,41298
52工程管理,A016北京建筑大学,1,41468
33工商管理类,A216燕山大学,8,42045
14行政管理,A488武汉科技大学,2,42210
05公共管理类,A512湖北大学,4,42224
21行政管理,A755新疆大学,3,42225
42财务管理,A650四川外国语大学,2,42418
39物流管理(中外合作办学)(中澳合作),A273上海对外经贸大学,3,42425
0Y信息管理与信息系统,A631重庆医科大学,1,42601
8A工程管理,A616成都理工大学,2,42852
55行政管理(数字政务),A421江西财经大学,1,42912
0R艺术管理(国际文化交流),A049中国戏曲学院,3,42939
19旅游管理,A530湘潭大学,4,43008
