专业,院校名称,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质
智能采矿工程,安徽理工大学,none,none,none,8,497,"156,901",8,497,"156,477",省重点,none,公办
智能建造,安徽理工大学,4,545,"88,540",4,529,"92,209",4,525,"97,921",省重点,none,公办
智能科学与技术,安徽理工大学,none,none,none,4,547,"65,321",2,546,"64,340",省重点,none,公办
智能制造工程,安徽理工大学,none,none,none,4,532,"88,035",4,531,"87,374",省重点,none,公办
资源勘查工程,安徽理工大学,none,none,none,6,488,"178,003",8,501,"147,534",省重点,none,公办
资源循环科学与工程,安徽理工大学,6,535,"104,882",4,520,"108,338",none,none,none,省重点,none,公办
资源与环境经济学,安徽理工大学,2,544,"90,612",4,533,"86,481",4,529,"90,986",省重点,none,公办
自动化,安徽理工大学,2,560,"67,669",2,548,"63,599",2,548,"62,264",省重点,none,公办
测绘工程,安徽农业大学,2,527,"118,322",2,516,"115,735",2,513,"121,464",省重点,none,公办
茶学,安徽农业大学,2,559,"68,280",2,546,"65,538",3,542,"70,456",省重点,none,公办
电气工程及其自动化,安徽农业大学,2,541,"94,810",2,534,"83,550",2,536,"80,281",省重点,none,公办
电子信息类,安徽农业大学,3,544,"89,652",2,537,"79,472",2,537,"78,848",省重点,none,公办
动物科学,安徽农业大学,4,530,"113,252",4,520,"109,023",4,516,"115,523",省重点,none,公办
动物医学,安徽农业大学,4,534,"105,729",4,530,"90,578",4,532,"86,628",省重点,none,公办
工商管理类,安徽农业大学,2,549,"82,631",2,539,"76,368",2,538,"76,415",省重点,none,公办
公共管理类,安徽农业大学,2,548,"83,797",2,536,"81,221",2,532,"87,185",省重点,none,公办
国际经济与贸易,安徽农业大学,2,556,"72,874",2,543,"70,855",3,538,"77,346",省重点,none,公办
汉语言文学,安徽农业大学,3,564,"62,456",3,552,"58,802",2,554,"54,865",省重点,none,公办
环境科学与工程类,安徽农业大学,4,539,"97,617",4,526,"97,383",4,521,"105,252",省重点,none,公办
机械类,安徽农业大学,2,538,"100,535",2,525,"99,804",2,524,"100,244",省重点,none,公办
计算机科学与技术,安徽农业大学,3,548,"83,542",2,547,"64,439",2,547,"64,064",省重点,none,公办
金融学,安徽农业大学,2,548,"83,252",2,540,"75,049",2,540,"73,833",省重点,none,公办
木材科学与工程,安徽农业大学,2,521,"129,324",2,523,"103,008",2,516,"116,143",省重点,none,公办
农业机械化及其自动化,安徽农业大学,2,533,"107,725",2,524,"100,714",2,521,"105,907",省重点,none,公办
农业水利工程,安徽农业大学,2,521,"129,279",3,514,"121,503",none,none,none,省重点,none,公办
