专业,院校名称,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质
国际经济与贸易,广东海洋大学,1,556,"72,969",1,541,"73,641",2,537,"77,733",省重点,none,公办
海洋科学,广东海洋大学,11,545,"88,518",4,531,"89,085",6,527,"95,401",省重点,none,公办
海洋渔业科学与技术,广东海洋大学,5,537,"101,000",6,523,"102,810",4,517,"113,458",省重点,none,公办
汉语言文学,广东海洋大学,none,none,none,2,543,"70,467",2,545,"66,796",省重点,none,公办
机械设计制造及其自动化,广东海洋大学,1,556,"71,963",none,none,none,none,none,none,省重点,none,公办
计算机科学与技术,广东海洋大学,1,566,"58,901",1,562,"46,587",2,559,"48,009",省重点,none,公办
林学,广东海洋大学,none,none,none,4,515,"117,782",2,513,"122,507",省重点,none,公办
农学,广东海洋大学,none,none,none,4,512,"125,265",3,511,"125,022",省重点,none,公办
日语,广东海洋大学,none,none,none,1,556,"53,087",2,534,"83,924",省重点,none,公办
生物工程,广东海洋大学,none,none,none,3,528,"94,121",3,524,"99,822",省重点,none,公办
生物科学,广东海洋大学,none,none,none,1,532,"86,667",1,538,"76,846",省重点,none,公办
食品科学与工程,广东海洋大学,11,536,"103,665",5,522,"104,348",5,523,"102,819",省重点,none,公办
食品质量与安全,广东海洋大学,10,537,"100,938",4,528,"93,668",4,525,"98,321",省重点,none,公办
水产养殖学,广东海洋大学,12,531,"111,964",6,519,"111,100",6,513,"122,111",省重点,none,公办
水生动物医学,广东海洋大学,5,534,"106,640",3,521,"107,093",4,517,"113,692",省重点,none,公办
应用化学,广东海洋大学,none,none,none,1,526,"97,300",1,532,"86,850",省重点,none,公办
应用气象学,广东海洋大学,3,545,"88,284",3,531,"88,671",3,528,"93,078",省重点,none,公办
英语,广东海洋大学,2,557,"71,446",none,none,none,none,none,none,省重点,none,公办
园林,广东海洋大学,4,541,"95,577",4,525,"99,716",2,520,"108,426",省重点,none,公办
园艺,广东海洋大学,1,541,"94,139",4,522,"105,294",2,518,"112,647",省重点,none,公办
制药工程,广东海洋大学,4,549,"82,647",4,533,"85,434",4,528,"93,275",省重点,none,公办
自动化,广东海洋大学,4,554,"74,763",3,541,"73,401",3,540,"73,668",省重点,none,公办
国际经济与贸易,广东技术师范大学,none,none,none,4,509,"130,553",5,507,"135,385",none,none,公办
汉语言文学(师范类),广东技术师范大学,none,none,none,4,529,"91,683",5,527,"94,288",none,none,公办
教育技术学(师范类),广东技术师范大学,none,none,none,none,none,none,5,505,"137,654",none,none,公办
人工智能,广东技术师范大学,none,none,none,4,513,"123,627",3,513,"122,075",none,none,公办
日语,广东技术师范大学,none,none,none,3,520,"109,458",5,509,"130,230",none,none,公办
数据科学与大数据技术,广东技术师范大学,none,none,none,none,none,none,5,513,"121,907",none,none,公办
数学与应用数学(师范类),广东技术师范大学,none,none,none,4,519,"110,157",6,512,"123,298",none,none,公办
网络空间安全,广东技术师范大学,none,none,none,none,none,none,5,512,"123,222",none,none,公办
智能科学与技术,广东技术师范大学,none,none,none,3,524,"101,474",3,521,"106,449",none,none,公办
电子商务,广东金融学院,none,none,none,1,542,"71,779",1,538,"76,236",none,none,公办
工商管理,广东金融学院,1,566,"59,726",2,549,"62,641",1,540,"72,836",none,none,公办
国际经济与贸易,广东金融学院,2,566,"59,684",1,554,"55,677",1,546,"64,976",none,none,公办
会计学,广东金融学院,2,571,"53,805",2,555,"54,066",1,548,"61,487",none,none,公办
计算机科学与技术,广东金融学院,none,none,none,1,553,"56,684",1,549,"60,701",none,none,公办
金融数学,广东金融学院,1,565,"60,408",2,548,"63,482",1,550,"59,688",none,none,公办
金融学,广东金融学院,2,574,"50,079",2,555,"53,976",1,549,"60,186",none,none,公办
精算学,广东金融学院,1,567,"57,850",2,554,"55,478",1,543,"69,368",none,none,公办
安全工程,广东石油化工学院,none,none,none,none,none,none,2,478,"201,755",none,none,公办
电子信息工程,广东石油化工学院,none,none,none,none,none,none,3,484,"186,254",none,none,公办
法学,广东石油化工学院,2,505,"159,265",none,none,none,none,none,none,none,none,公办
国际经济与贸易,广东石油化工学院,2,502,"165,990",none,none,none,none,none,none,none,none,公办
海洋油气工程,广东石油化工学院,none,none,none,none,none,none,3,479,"199,371",none,none,公办
化学工程与工艺(卓越班),广东石油化工学院,3,498,"173,602",3,488,"176,186",3,486,"181,097",none,none,公办
环境工程,广东石油化工学院,4,494,"183,001",3,487,"180,517",3,486,"181,406",none,none,公办
计算机科学与技术,广东石油化工学院,none,none,none,none,none,none,3,489,"175,245",none,none,公办
精细化工,广东石油化工学院,none,none,none,none,none,none,3,472,"215,853",none,none,公办
历史学,广东石油化工学院,2,498,"174,825",none,none,none,none,none,none,none,none,公办
能源化学工程,广东石油化工学院,none,none,none,none,none,none,3,486,"182,710",none,none,公办
人工智能,广东石油化工学院,none,none,none,none,none,none,3,484,"187,348",none,none,公办
生物技术,广东石油化工学院,3,499,"172,117",3,490,"171,795",3,488,"176,923",none,none,公办
石油工程,广东石油化工学院,4,497,"174,997",3,491,"170,415",3,496,"158,410",none,none,公办
食品科学与工程,广东石油化工学院,3,501,"167,561",none,none,none,none,none,none,none,none,公办
数学与应用数学(师范类),广东石油化工学院,none,none,none,none,none,none,3,486,"183,342",none,none,公办
物理学(师范类),广东石油化工学院,4,491,"187,288",3,487,"179,346",3,481,"193,501",none,none,公办
新能源科学与工程,广东石油化工学院,none,none,none,none,none,none,3,490,"173,829",none,none,公办
信息与计算科学,广东石油化工学院,none,none,none,none,none,none,3,483,"189,261",none,none,公办
应用化学,广东石油化工学院,none,none,none,none,none,none,3,483,"189,472",none,none,公办
英语,广东石油化工学院,2,499,"172,826",none,none,none,none,none,none,none,none,公办
资源勘查工程,广东石油化工学院,3,494,"182,620",3,487,"178,676",3,485,"185,482",none,none,公办
自动化,广东石油化工学院,none,none,none,none,none,none,3,483,"189,211",none,none,公办
财政学类,广东外语外贸大学,1,607,"22,210",1,587,"24,281",1,582,"26,328",省重点,none,公办
德语,广东外语外贸大学,1,607,"22,268",1,592,"21,606",1,587,"22,852",省重点,none,公办
法学,广东外语外贸大学,2,600,"26,801",2,587,"24,834",2,582,"26,598",省重点,none,公办
工商管理类,广东外语外贸大学,3,599,"27,744",5,574,"35,004",8,562,"45,411",省重点,none,公办
国际经济与贸易,广东外语外贸大学,1,608,"21,771",1,588,"23,924",1,581,"27,191",省重点,none,公办
计算机类,广东外语外贸大学,4,587,"37,441",4,571,"37,063",7,567,"39,755",省重点,none,公办
教育学,广东外语外贸大学,1,587,"37,499",1,577,"32,095",1,563,"43,709",省重点,none,公办
金融学类,广东外语外贸大学,1,617,"16,565",1,597,"18,174",1,594,"18,713",省重点,none,公办
经济统计学,广东外语外贸大学,1,598,"28,196",3,576,"32,842",3,573,"33,774",省重点,none,公办
日语,广东外语外贸大学,1,603,"24,983",1,595,"19,545",1,578,"29,695",省重点,none,公办
商务英语,广东外语外贸大学,1,607,"21,954",1,593,"21,000",1,585,"24,530",省重点,none,公办
社会工作,广东外语外贸大学,2,590,"34,319",2,564,"44,840",2,563,"44,363",省重点,none,公办
乌尔都语,广东外语外贸大学,1,594,"31,696",1,572,"36,377",2,547,"63,593",省重点,none,公办
希伯来语,广东外语外贸大学,none,none,none,1,576,"32,836",1,572,"34,720",省重点,none,公办
希腊语,广东外语外贸大学,1,599,"27,759",1,586,"25,616",1,578,"29,771",省重点,none,公办
意大利语,广东外语外贸大学,1,606,"23,041",1,589,"23,332",1,573,"34,283",省重点,none,公办
应用心理学,广东外语外贸大学,1,611,"19,475",1,585,"25,642",1,578,"29,388",省重点,none,公办
英语,广东外语外贸大学,3,610,"20,446",2,596,"19,035",2,588,"22,395",省重点,none,公办
海洋药学,广东药科大学,3,567,"58,198",6,545,"67,035",3,540,"73,200",none,none,公办
临床药学,广东药科大学,none,none,none,none,none,none,4,551,"58,220",none,none,公办
临床医学,广东药科大学,3,583,"40,816",8,570,"38,369",5,570,"37,170",none,none,公办
生物工程类,广东药科大学,none,none,none,7,547,"64,716",3,542,"70,329",none,none,公办
生物科学类,广东药科大学,none,none,none,none,none,none,4,543,"69,114",none,none,公办
药学类,广东药科大学,3,577,"47,367",6,561,"47,311",4,559,"48,421",none,none,公办
预防医学,广东药科大学,3,568,"56,745",6,552,"58,483",5,548,"62,440",none,none,公办
制药工程,广东药科大学,3,567,"58,460",6,549,"62,300",4,546,"65,336",none,none,公办
中药学类,广东药科大学,3,570,"55,095",6,550,"61,332",4,545,"66,800",none,none,公办
中医学,广东药科大学,4,565,"60,059",8,549,"62,438",4,547,"63,955",none,none,公办
法医学,广东医科大学,2,593,"31,895",2,583,"27,664",3,573,"33,910",省重点,none,公办
康复治疗学,广东医科大学,2,582,"42,222",2,564,"44,731",none,none,none,省重点,none,公办
口腔医学,广东医科大学,3,605,"23,644",2,594,"20,228",2,596,"17,370",省重点,none,公办
临床医学,广东医科大学,3,603,"24,439",6,586,"25,592",6,585,"24,513",省重点,none,公办
麻醉学,广东医科大学,3,598,"28,435",3,583,"27,656",3,581,"27,121",省重点,none,公办
药学,广东医科大学,2,587,"37,400",none,none,none,none,none,none,省重点,none,公办
医学检验技术,广东医科大学,3,587,"36,851",3,571,"37,008",3,563,"44,032",省重点,none,公办
医学影像学,广东医科大学,3,597,"28,825",3,580,"29,409",3,577,"30,684",省重点,none,公办
预防医学,广东医科大学,2,590,"34,353",2,574,"34,984",3,568,"39,234",省重点,none,公办
商务经济学,广西财经学院,4,503,"164,708",4,492,"167,127",4,492,"168,783",none,none,公办
电气类,广西大学,20,595,"30,398",20,579,"30,573",20,577,"30,599",211,一流学科,公办
电子科学与技术,广西大学,10,594,"31,520",10,578,"31,266",10,576,"31,549",211,一流学科,公办
电子信息类,广西大学,10,596,"29,874",10,580,"29,639",10,577,"30,242",211,一流学科,公办
法学,广西大学,20,597,"28,743",20,582,"28,058",20,580,"28,167",211,一流学科,公办
工商管理类,广西大学,none,none,none,14,570,"38,040",10,568,"38,412",211,一流学科,公办
公共事业管理,广西大学,20,587,"37,164",20,571,"37,864",15,569,"38,324",211,一流学科,公办
海洋科学,广西大学,10,587,"37,192",10,568,"40,030",10,565,"41,705",211,一流学科,公办
汉语言文学,广西大学,10,598,"28,327",10,583,"27,645",10,581,"27,724",211,一流学科,公办
化学类,广西大学,20,588,"36,546",20,570,"38,870",20,564,"42,523",211,一流学科,公办
机械类,广西大学,20,592,"32,835",20,575,"34,110",20,570,"36,633",211,一流学科,公办
计算机类,广西大学,10,598,"28,261",10,583,"27,503",10,582,"26,404",211,一流学科,公办
轻工类,广西大学,20,581,"42,755",20,564,"44,020",20,559,"48,143",211,一流学科,公办
日语,广西大学,10,584,"40,013",10,569,"39,769",10,566,"40,440",211,一流学科,公办
数学类,广西大学,10,594,"31,100",15,576,"32,737",10,574,"33,443",211,一流学科,公办
思想政治教育,广西大学,none,none,none,none,none,none,5,578,"29,404",211,一流学科,公办
土木工程,广西大学,20,590,"34,368",20,572,"36,540",20,565,"41,962",211,一流学科,公办
外国语言文学类,广西大学,10,593,"32,213",10,579,"30,785",10,574,"33,583",211,一流学科,公办
新闻传播学类,广西大学,10,593,"32,481",10,577,"32,135",10,577,"31,043",211,一流学科,公办
测控技术与仪器,广西科技大学,4,508,"153,544",4,498,"154,944",4,499,"152,856",none,none,公办
电气工程及其自动化,广西科技大学,2,524,"123,101",2,514,"120,568",4,513,"121,426",none,none,公办
工业工程,广西科技大学,4,507,"156,337",4,498,"153,279",4,495,"160,537",none,none,公办
机械工程(中外合作办学),广西科技大学,7,479,"211,752",7,474,"209,927",7,472,"215,511",none,none,公办
金融学,广西科技大学,2,531,"112,311",2,519,"110,651",none,none,none,none,none,公办
康复治疗学,广西科技大学,2,506,"158,616",2,498,"153,809",4,495,"161,368",none,none,公办
软件工程(启迪数字学院),广西科技大学,4,511,"147,323",4,501,"147,938",4,503,"143,448",none,none,公办
软件工程(中外合作办学),广西科技大学,10,484,"203,365",10,478,"199,794",8,478,"202,072",none,none,公办
食品科学与工程,广西科技大学,3,512,"146,601",3,499,"151,378",4,496,"159,270",none,none,公办
数据科学与大数据技术,广西科技大学,2,523,"125,775",2,511,"126,865",4,510,"127,820",none,none,公办
通信工程,广西科技大学,3,512,"146,727",3,503,"142,804",3,503,"142,027",none,none,公办
土木工程,广西科技大学,2,511,"147,963",2,505,"139,428",3,500,"149,560",none,none,公办
网络空间安全,广西科技大学,2,518,"134,642",none,none,none,none,none,none,none,none,公办
物流管理,广西科技大学,3,509,"152,986",3,498,"154,419",3,496,"159,122",none,none,公办
新媒体技术(虚拟现实方向),广西科技大学,6,505,"159,139",6,495,"160,709",6,493,"165,685",none,none,公办
运动康复,广西科技大学,2,501,"168,785",4,493,"166,371",none,none,none,none,none,公办
智能制造工程,广西科技大学,2,514,"142,696",none,none,none,none,none,none,none,none,公办
电气工程及其自动化,广西科技师范学院,none,none,none,2,479,"198,242",2,477,"205,042",none,none,公办
电子信息工程,广西科技师范学院,none,none,none,2,478,"199,274",2,475,"208,533",none,none,公办
汉语言文学(师范类),广西科技师范学院,6,498,"174,099",3,495,"160,660",5,496,"158,260",none,none,公办
化学(师范类),广西科技师范学院,3,496,"178,411",2,489,"174,012",2,488,"178,302",none,none,公办
计算机科学与技术(职教师资),广西科技师范学院,3,487,"196,173",none,none,none,none,none,none,none,none,公办
软件工程,广西科技师范学院,2,485,"200,662",2,482,"191,145",2,480,"195,577",none,none,公办
食品科学与工程,广西科技师范学院,none,none,none,2,480,"195,508",2,480,"196,038",none,none,公办
数据科学与大数据技术,广西科技师范学院,none,none,none,2,479,"197,321",2,476,"206,479",none,none,公办
数学与应用数学(师范类),广西科技师范学院,2,497,"176,600",2,487,"179,241",2,485,"183,880",none,none,公办
物理学(师范类),广西科技师范学院,3,492,"185,586",2,485,"183,844",2,483,"190,564",none,none,公办
物联网工程,广西科技师范学院,none,none,none,2,477,"202,021",2,478,"202,292",none,none,公办
