山东省2020年普通类常规批第1次志愿投档情况表,,,,,,,,
专业,院校,普通类,,,,,,
,,计划数,投档计划数,投出数,最低分,最低位次,,
0A统计学类,A034中央财经大学,4,4,4,662,2275,,
0B数学类,A034中央财经大学,4,4,4,660,2639,,
0E经济学类,A034中央财经大学,3,3,3,668,1484,,
0F工商管理类（商学院）,A034中央财经大学,4,4,4,656,3293,,
0G管理科学与工程类,A034中央财经大学,5,5,5,655,3553,,
0H投资学,A034中央财经大学,5,5,5,658,2902,,
0N法学,A034中央财经大学,4,4,4,651,4415,,
0T文化产业管理,A034中央财经大学,3,3,3,649,4795,,
0Z计算机类,A034中央财经大学,4,4,4,658,2994,,
10经济学（数理经济与数理金融）,A034中央财经大学,3,3,3,669,1327,,
11金融学（国际金融与公司理财）,A034中央财经大学,3,3,3,668,1495,,
12财政学（财政理论与政策）,A034中央财经大学,3,3,3,664,2058,,
L2财政学类,A034中央财经大学,7,7,7,661,2513,,
L4金融学类,A034中央财经大学,7,7,7,670,1231,,
L6工商管理类（会计学院）,A034中央财经大学,7,7,7,665,1925,,
LK公共管理类,A034中央财经大学,4,4,4,651,4447,,
0D国际经济与贸易(中外合作办学)（国际贸易、金融风险管理）,A034中央财经大学,10,10,10,641,6934,,
01经济学类,A036对外经济贸易大学,5,5,5,660,2640,,
02金融学类,A036对外经济贸易大学,4,4,4,661,2379,,
04国际经济与贸易（国际组织人才基地班）,A036对外经济贸易大学,3,3,3,659,2799,,
05国际商务,A036对外经济贸易大学,4,4,4,655,3548,,
06金融学,A036对外经济贸易大学,7,7,7,662,2301,,
07金融工程,A036对外经济贸易大学,2,2,2,663,2111,,
08投资学,A036对外经济贸易大学,4,4,4,657,3144,,
09金融工程（量化金融实验班）,A036对外经济贸易大学,3,3,3,663,2094,,
10工商管理类,A036对外经济贸易大学,10,10,10,655,3426,,
23法学类,A036对外经济贸易大学,5,5,5,656,3372,,
26数据科学与大数据技术,A036对外经济贸易大学,4,4,4,654,3674,,
28保险学,A036对外经济贸易大学,2,2,2,654,3671,,
30精算学,A036对外经济贸易大学,4,4,4,654,3732,,
32政治学类,A036对外经济贸易大学,2,2,2,648,4981,,
33金融数学,A036对外经济贸易大学,2,2,2,658,2957,,
34经济统计学,A036对外经济贸易大学,2,2,2,659,2801,,
01经济学（实验班）,A037北京物资学院,2,2,2,576,48367,,
04金融学类,A037北京物资学院,1,1,1,576,48263,,
05物流管理与工程类,A037北京物资学院,2,2,2,572,52401,,
07计算机科学与技术（实验班）,A037北京物资学院,1,1,1,576,48391,,
10应用统计学,A037北京物资学院,1,1,1,590,34401,,
11数据科学与大数据技术,A037北京物资学院,1,1,1,575,49076,,
13电子商务,A037北京物资学院,1,1,1,569,56419,,
14大数据管理与应用,A037北京物资学院,1,1,1,577,47192,,
15会计学（注册会计师）,A037北京物资学院,2,2,2,581,42640,,
16会计学（管理会计）,A037北京物资学院,1,1,1,581,42730,,
17财务管理,A037北京物资学院,1,1,1,575,49483,,
18工商管理类,A037北京物资学院,2,2,2,570,54427,,
20商务英语（实验班）,A037北京物资学院,2,2,2,573,51919,,
01公共管理类,A038首都经济贸易大学,2,2,2,610,20583,,
02工商管理类（工商学院）,A038首都经济贸易大学,6,6,6,609,20778,,
04经济学（实验班）,A038首都经济贸易大学,2,2,2,621,14646,,
05经济与贸易类,A038首都经济贸易大学,4,4,4,613,18706,,
06会计学,A038首都经济贸易大学,3,3,3,614,18316,,
12计算机科学与技术,A038首都经济贸易大学,3,3,3,608,21277,,
19金融学（国际金融英文班）,A038首都经济贸易大学,2,2,2,618,16126,,
20金融学类,A038首都经济贸易大学,2,2,2,617,16415,,
28工商管理（国际会计）,A038首都经济贸易大学,2,2,2,611,19804,,
00法学,A041中国人民公安大学,3,3,3,637,8278,,
09经济学,A043北京体育大学,2,2,2,611,19819,,
10马克思主义理论,A043北京体育大学,1,1,1,617,16684,,
11教育学,A043北京体育大学,1,1,1,605,23657,,
13运动康复,A043北京体育大学,4,4,4,601,25959,,
14智能体育工程,A043北京体育大学,1,1,1,598,27910,,
15汉语国际教育,A043北京体育大学,1,1,1,604,24333,,
16英语,A043北京体育大学,2,2,2,608,21638,,
17俄语,A043北京体育大学,2,2,2,598,28235,,
18德语,A043北京体育大学,3,3,3,601,25897,,
19法语,A043北京体育大学,2,2,2,599,27461,,
20西班牙语,A043北京体育大学,2,2,2,602,24992,,
23葡萄牙语,A043北京体育大学,2,2,2,596,29999,,
27新闻学,A043北京体育大学,5,5,5,606,22943,,
29网络与新媒体,A043北京体育大学,2,2,2,606,22731,,
30应用心理学,A043北京体育大学,3,3,3,604,24246,,
31数据科学与大数据技术,A043北京体育大学,2,2,2,601,25803,,
33体育经济与管理,A043北京体育大学,5,5,5,600,26582,,
35公共事业管理,A043北京体育大学,4,4,4,600,26632,,
36旅游管理,A043北京体育大学,4,4,4,596,30134,,
48汉语言文学,A043北京体育大学,2,2,2,605,23600,,
0Q戏剧影视文学（戏曲文学）,A049中国戏曲学院,6,6,6,575,49431,,
0R艺术管理（国际文化交流）,A049中国戏曲学院,4,4,4,581,42875,,
0S文化产业管理,A049中国戏曲学院,1,1,1,615,17699,,
24数字媒体技术,A050北京电影学院,2,2,2,621,14233,,
01哲学类,A052中央民族大学,2,2,2,639,7463,,
02经济学类,A052中央民族大学,8,8,8,632,9912,,
03法学类,A052中央民族大学,4,4,4,634,9214,,
04社会学类,A052中央民族大学,2,2,2,634,9291,,
06文物与博物馆学,A052中央民族大学,2,2,2,628,11341,,
07历史学类,A052中央民族大学,2,2,2,636,8459,,
08教育学,A052中央民族大学,2,2,2,630,10574,,
10汉语言文学,A052中央民族大学,2,2,2,637,8224,,
11新闻传播学类,A052中央民族大学,2,2,2,637,8271,,
12工商管理类,A052中央民族大学,3,3,3,630,10618,,
13公共管理类,A052中央民族大学,2,2,2,632,9928,,
14外国语言文学类,A052中央民族大学,3,3,3,633,9605,,
21信息与计算科学,A052中央民族大学,3,3,3,625,12629,,
22统计学类,A052中央民族大学,3,3,3,626,12312,,
23光电信息科学与工程,A052中央民族大学,3,3,3,623,13648,,
24生物科学类,A052中央民族大学,3,3,3,627,11879,,
27电子信息类,A052中央民族大学,4,4,4,625,12431,,
28计算机类,A052中央民族大学,3,3,3,631,10238,,
29环境科学(中外合作办学),A052中央民族大学,4,4,4,598,27905,,
01哲学,A053中国政法大学,3,3,3,645,5857,,
02法学,A053中国政法大学,29,29,29,658,2921,,
03法学（法学人才培养模式改革实验班）,A053中国政法大学,14,14,14,664,1987,,
04法学（涉外法律人才培养模式实验班）,A053中国政法大学,7,7,7,663,2121,,
09社会工作,A053中国政法大学,1,1,1,647,5367,,
11汉语言文学,A053中国政法大学,2,2,2,648,5112,,
12英语（法律英语方向）,A053中国政法大学,4,4,4,645,5669,,
13翻译（法律翻译方向）,A053中国政法大学,2,2,2,646,5594,,
14德语,A053中国政法大学,3,3,3,645,5885,,
16网络与新媒体,A053中国政法大学,1,1,1,650,4488,,
17应用心理学,A053中国政法大学,1,1,1,645,5741,,
18工商管理,A053中国政法大学,4,4,4,647,5329,,
19国际商务,A053中国政法大学,3,3,3,641,6833,,
20行政管理,A053中国政法大学,3,3,3,645,5848,,
21公共事业管理,A053中国政法大学,1,1,1,646,5619,,
23国际政治,A053中国政法大学,2,2,2,650,4666,,
24政治学与行政学,A053中国政法大学,3,3,3,649,4888,,
25经济学,A053中国政法大学,1,1,1,651,4438,,
26金融工程（成思危现代金融菁英班）,A053中国政法大学,4,4,4,651,4303,,
27信息管理与信息系统（法治信息管理方向）,A053中国政法大学,2,2,2,648,5083,,
01电气类,A054华北电力大学(北京),16,16,16,639,7424,,
02电子信息类,A054华北电力大学(北京),5,5,5,634,9262,,
03能源动力类（能动）,A054华北电力大学(北京),10,10,10,626,12188,,
04机械类,A054华北电力大学(北京),1,1,1,628,11376,,
05材料类,A054华北电力大学(北京),2,2,2,623,13286,,
06土木类,A054华北电力大学(北京),1,1,1,622,13749,,
07自动化类,A054华北电力大学(北京),8,8,8,628,11533,,
08计算机类,A054华北电力大学(北京),11,11,11,628,11254,,
09管理科学与工程类,A054华北电力大学(北京),6,6,6,623,13397,,
0B能源动力类（新能源）,A054华北电力大学(北京),3,3,3,626,12165,,
0C水利类,A054华北电力大学(北京),3,3,3,624,12920,,
0D核工程类,A054华北电力大学(北京),6,6,6,621,14468,,
0E环境科学与工程类,A054华北电力大学(北京),4,4,4,620,15031,,
0F数学类,A054华北电力大学(北京),4,4,4,627,11893,,
0G工商管理类,A054华北电力大学(北京),9,9,9,621,14451,,
0H法学类,A054华北电力大学(北京),3,3,3,621,14662,,
0J公共管理类,A054华北电力大学(北京),4,4,4,622,14042,,
0K外国语言文学类,A054华北电力大学(北京),1,1,1,618,16127,,
0L物理学类,A054华北电力大学(北京),1,1,1,627,11929,,
09经济学类,A055南开大学,9,9,9,669,1350,,
10金融学类,A055南开大学,7,7,7,671,1150,,
22历史学类,A055南开大学,4,4,4,656,3405,,
24化学类,A055南开大学,10,10,10,666,1766,,
30临床医学（5+3一体化）,A055南开大学,6,6,6,663,2221,,
41公共管理类,A055南开大学,6,6,6,660,2675,,
42计算机类（信息科学与技术类试验班）,A055南开大学,33,33,33,664,1982,,
43中国语言文学类,A055南开大学,11,11,11,655,3478,,
44工商管理类,A055南开大学,10,10,10,663,2170,,
46理科试验班（数理科学与大数据）,A055南开大学,15,15,15,669,1339,,
01电子商务(中外合作办学),A055南开大学,5,5,5,641,6754,,
02工科试验班（精仪与光电信息类）,A056天津大学,30,30,30,653,3937,,
03工科试验班（电子科学技术类）,A056天津大学,11,11,11,654,3739,,
04工科试验班（电气信息类）,A056天津大学,31,31,31,654,3742,,
05工科试验班（智能与计算类）,A056天津大学,20,20,20,657,3059,,
07建筑类,A056天津大学,7,7,7,658,3025,,
08医学技术类（新医科试验班）,A056天津大学,18,18,18,650,4471,,
25化工与制药类（化工能源与生命医药试验班）,A056天津大学,26,26,26,649,4722,,
28材料类（新材料与加工技术试验班）,A056天津大学,20,20,20,649,4860,,
29管理科学与工程类,A056天津大学,20,20,20,648,4910,,
AA工科试验班（智能制造与建造）,A056天津大学,37,37,37,651,4341,,
01智能制造工程（卓越人才实验班）,A057天津科技大学,3,3,3,589,35327,,
02机械类,A057天津科技大学,15,15,15,580,43596,,
03自动化,A057天津科技大学,3,3,3,585,38687,,
04机器人工程,A057天津科技大学,3,3,3,586,37724,,
05电子信息类,A057天津科技大学,4,4,4,589,35501,,
06电气工程及其自动化,A057天津科技大学,3,3,3,586,37909,,
08人工智能（卓越人才实验班）,A057天津科技大学,3,3,3,591,33486,,
09计算机科学与技术,A057天津科技大学,3,3,3,593,32114,,
0A软件工程,A057天津科技大学,4,4,4,589,35115,,
0C数据科学与大数据技术,A057天津科技大学,3,3,3,589,35003,,
0D物联网工程,A057天津科技大学,4,4,4,587,37292,,
0G海洋资源开发技术,A057天津科技大学,3,3,3,575,49313,,
0H高分子材料与工程,A057天津科技大学,3,3,3,582,42379,,
0K轻化工程,A057天津科技大学,4,4,4,580,44349,,
0M包装工程,A057天津科技大学,3,3,3,577,47251,,
0P食品科学与工程,A057天津科技大学,6,6,6,579,44988,,
0R生物工程,A057天津科技大学,3,3,3,587,37646,,
0S制药工程,A057天津科技大学,3,3,3,582,41938,,
0T化学工程与工艺,A057天津科技大学,6,6,6,578,46478,,
0U海洋科学类,A057天津科技大学,4,4,4,576,47690,,
0V环境科学与工程类,A057天津科技大学,4,4,4,578,45969,,
0X物流管理与工程类,A057天津科技大学,3,3,3,573,50941,,
0Y国际经济与贸易,A057天津科技大学,3,3,3,579,45291,,
0Z金融学类,A057天津科技大学,4,4,4,582,41931,,
10财务管理,A057天津科技大学,4,4,4,580,43846,,
12公共事业管理,A057天津科技大学,3,3,3,579,45383,,
15法学类,A057天津科技大学,3,3,3,582,41701,,
16汉语国际教育,A057天津科技大学,3,3,3,582,41721,,
18英语,A057天津科技大学,3,3,3,584,40398,,
19日语,A057天津科技大学,3,3,3,579,45580,,
1B生物工程(中外合作办学)（酿造与蒸馏）,A057天津科技大学,4,4,4,553,76048,,
1C财务管理(中外合作办学),A057天津科技大学,6,6,6,562,64105,,
1D计算机科学与技术(中外合作办学)（信息处理）,A057天津科技大学,6,6,6,564,61455,,
01纺织工程,A058天津工业大学,8,8,8,593,32101,,
02非织造材料与工程,A058天津工业大学,3,3,3,594,31059,,
03轻化工程,A058天津工业大学,4,4,4,592,32781,,
04服装设计与工程,A058天津工业大学,3,3,3,591,33635,,
05材料科学与工程,A058天津工业大学,6,6,6,595,30511,,
06复合材料与工程,A058天津工业大学,3,3,3,595,30891,,
07无机非金属材料工程,A058天津工业大学,2,2,2,594,31366,,
08高分子材料与工程,A058天津工业大学,2,2,2,595,30864,,
09机械工程,A058天津工业大学,14,14,14,594,31691,,
10工业设计,A058天津工业大学,2,2,2,598,28292,,
11机械电子工程,A058天津工业大学,4,4,4,596,30108,,
12自动化,A058天津工业大学,4,4,4,598,28294,,
13电气工程及其自动化,A058天津工业大学,6,6,6,599,27692,,
15人工智能,A058天津工业大学,3,3,3,598,28241,,
16电子信息工程,A058天津工业大学,5,5,5,597,28809,,
17通信工程,A058天津工业大学,6,6,6,598,28188,,
19电子科学与技术,A058天津工业大学,4,4,4,597,28872,,
20生物医学工程,A058天津工业大学,3,3,3,596,29449,,
21智能医学工程,A058天津工业大学,4,4,4,594,31110,,
22环境工程,A058天津工业大学,4,4,4,593,32490,,
23化学工程与工艺,A058天津工业大学,3,3,3,596,29781,,
24应用化学,A058天津工业大学,3,3,3,600,26861,,
25制药工程,A058天津工业大学,3,3,3,594,30941,,
26计算机科学与技术,A058天津工业大学,4,4,4,603,24679,,
27软件工程,A058天津工业大学,15,15,15,598,28415,,
29网络空间安全,A058天津工业大学,4,4,4,597,28553,,
30物联网工程,A058天津工业大学,2,2,2,600,26684,,
31数学与应用数学,A058天津工业大学,3,3,3,598,28349,,
32应用统计学,A058天津工业大学,3,3,3,596,29324,,
33信息与计算科学,A058天津工业大学,3,3,3,597,29187,,
34数据科学与大数据技术,A058天津工业大学,2,2,2,601,25682,,
35光电信息科学与工程,A058天津工业大学,2,2,2,596,29536,,
36应用物理学,A058天津工业大学,4,4,4,596,29653,,
38经济学类,A058天津工业大学,4,4,4,598,27840,,
40工商管理类,A058天津工业大学,4,4,4,598,28425,,
41公共管理类,A058天津工业大学,2,2,2,593,32115,,
43英语,A058天津工业大学,3,3,3,600,27015,,
44法学,A058天津工业大学,4,4,4,600,26562,,
45日语,A058天津工业大学,2,2,2,590,34775,,
14电气工程及其自动化(中外合作办学),A058天津工业大学,8,8,8,582,42486,,
18通信工程(中外合作办学),A058天津工业大学,12,12,12,579,44735,,
37信息管理与信息系统(中外合作办学),A058天津工业大学,10,10,10,574,49960,,
01工科试验班（中欧航空工程师）,A059中国民航大学,10,10,9,602,25432,,
02法学（航空法）,A059中国民航大学,5,5,5,595,30644,,
03英语（民航外语）,A059中国民航大学,12,12,12,587,37595,,
04信息与计算科学,A059中国民航大学,4,4,4,586,38050,,
05应用气象学（航空气象）,A059中国民航大学,4,4,4,593,31894,,
06应用心理学,A059中国民航大学,1,1,1,597,29140,,
07统计学（民航大数据）,A059中国民航大学,4,4,4,590,34557,,
08材料物理（无损检测与表面工程）,A059中国民航大学,6,6,6,576,48087,,
09材料化学,A059中国民航大学,3,3,3,577,46862,,
0A工科试验班（航空工程学院）,A059中国民航大学,55,55,55,578,45852,,
0B电气工程及其自动化（航空电气）,A059中国民航大学,11,11,11,577,47449,,
0C电子信息工程（航空电子）,A059中国民航大学,26,26,26,574,49998,,
0D通信工程,A059中国民航大学,12,12,12,582,41617,,
0E自动化,A059中国民航大学,12,12,12,580,43728,,
