专业代号及名称,院校代号及名称,投档计划数,投档最低位次
0H自动化(含智能机器人、智能控制与技术方向),A490武汉工程大学,3,40964
19自动化,A703西安建筑科技大学,4,41033
15机械设计制造及其自动化(中外合作办学)(中美双学位、机器人方向),A010北京化工大学,6,41500
0Q机械设计制造及其自动化(中外合作办学)(中英合作),A252上海理工大学,4,42305
58农业机械化及其自动化,A299江苏大学,4,42382
41自动化,A743青海大学,6,42556
B6自动化,H414中国石油大学(北京)克拉玛依校区,9,42647
08机械设计制造及其自动化(智能制造方向),A490武汉工程大学,4,43701
46机械设计制造及其自动化,A057天津科技大学,4,43748
01机械设计制造及其自动化,A500湖北工业大学,4,44296
Z2机械设计制造及其自动化(中外合作办学),A151大连海事大学,8,44416
22自动化,A674昆明理工大学,3,44638
0Z自动化,B065青岛大学,150,44806
19机械设计制造及其自动化(卓越工程师班),A534湖南科技大学,1,44898
12机械设计制造及其自动化,A704西安科技大学,2,45764
0N机械设计制造及其自动化(中外合作办学)(合作高校为德国富特旺根应用,A252上海理工大学,4,46243
2B机械设计制造及其自动化,A107石家庄铁道大学,3,47374
23自动化,A424山东科技大学,106,47381
23自动化,A534湖南科技大学,1,48206
3D机械设计制造及其自动化(中外合作办学),A112太原理工大学,10,48580
87机械设计制造及其自动化(中外合作办学),A530湘潭大学,3,48999
09机械设计制造及其自动化,A406南昌航空大学,2,49280
68机械设计制造及其自动化,A743青海大学,14,49744
05机械设计制造及其自动化(卓越工程师计划试点班),A259上海应用技术大学,3,50075
14机械设计制造及其自动化,A534湖南科技大学,3,50169
0H自动化,A406南昌航空大学,2,51393
31机械设计制造及其自动化,B075三峡大学,5,51463
